State,AN,AP,AR,AS,BR,CH,CT,DN,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,Miscellaneous,Total
Sat Jan 16 00:00:00 GMT+05:30 2021,225,18412,829,3528,18169,265,5592,123,4319,426,10787,5589,1517,2044,3096,13594,8062,79,21,9219,18328,585,509,314,561,13746,274,1319,9279,120,2945,3653,355,21291,2276,9730,0,191181
Mon Jan 18 00:00:00 GMT+05:30 2021,442,46680,2805,5542,33389,265,10872,123,7968,426,10787,17642,4817,3375,6059,66392,15477,119,201,18174,18582,978,530,554,1436,46506,554,3318,23546,120,16462,17408,1736,22644,4237,29866,14017,454049
Tue Jan 19 00:00:00 GMT+05:30 2021,644,58495,2805,7418,42085,469,10872,208,12441,426,17581,24944,5049,4395,8824,80686,23855,119,369,18174,30247,111,1037,1091,2286,55138,719,5567,30761,350,25251,69405,3734,22644,6107,42093,14017,630417
Wed Jan 20 00:00:00 GMT+05:30 2021,644,91778,3023,7585,47433,469,16255,219,12902,426,21832,30402,5094,4414,11641,121466,24269,240,369,27770,52055,1454,1365,1508,2988,68743,759,7607,32379,573,33670,69405,3734,22644,6119,46310,26940,806484
Thu Jan 21 00:00:00 GMT+05:30 2021,1032,115365,4682,10676,63541,753,22171,278,18844,426,34865,45893,5790,6847,11641,138807,35173,240,369,38278,52393,1454,1785,2537,3187,113623,759,12532,32379,773,42947,97087,9272,22644,8206,53988,32297,1043534
Fri Jan 22 00:00:00 GMT+05:30 2021,1466,133298,5956,13881,63620,1157,22259,356,18844,946,46150,62142,9609,9827,14806,184699,47293,401,552,38278,74960,1923,2078,3657,3443,130007,1097,21340,43947,960,51651,110031,14252,123761,10514,84505,36926,1390592
Sat Jan 23 00:00:00 GMT+05:30 2021,1998,147030,6511,13881,76125,1502,28732,628,25811,1561,78466,71297,13544,11647,14806,188971,53529,558,633,38278,99885,2319,2236,3979,3443,152371,1478,30319,67270,960,59226,110031,14252,123761,10514,84505,40144,1582201
Sun Jan 24 00:00:00 GMT+05:30 2021,2019,147030,6511,13881,76125,1502,28732,628,25811,1561,78466,72204,13544,11647,14806,191449,53529,558,633,38278,99885,2319,2236,3979,3443,152371,1478,31327,93525,960,61720,110031,14252,123761,10514,84505,40284,1615504
Mon Jan 25 00:00:00 GMT+05:30 2021,2369,156120,7307,19837,88450,1928,40025,665,33219,1796,91927,105419,13544,16173,18413,231172,71973,670,676,67083,136901,2485,2748,4852,3675,177090,1813,39418,161116,1047,69027,130390,19698,123761,14546,122851,43625,2023809
Tue Jan 26 00:00:00 GMT+05:30 2021,2369,156129,7307,19837,88450,1928,40025,665,33219,1796,91927,105419,13544,16173,18413,231607,71973,670,676,67083,136901,2485,2748,4852,3675,177090,1813,39418,161332,1047,73953,130425,19698,123761,14546,122851,43675,2029480
Wed Jan 27 00:00:00 GMT+05:30 2021,2385,163727,7307,19945,89074,2355,51647,665,39764,2311,94524,109782,14054,16331,24020,267811,82970,818,746,131679,179509,2855,3249,6142,3973,178227,1813,44708,237137,1320,82039,130425,19698,123761,14690,158193,46325,2355979
